1;11;2
1;12;0
1;13;0
1;14;0
1;15;0
1;16;0
1;17;0
1;18;0
1;19;0
1;20;0
2;11;0
2;12;0
2;13;0
2;14;0
2;15;0
2;16;0
2;17;0
2;18;0
2;19;0
2;20;1
3;11;0
3;12;0
3;13;2
3;14;0
3;15;0
3;16;0
3;17;1
3;18;0
3;19;0
3;20;0
4;11;0
4;12;0
4;13;1
4;14;0
4;15;0
4;16;2
4;17;0
4;18;2
4;19;2
4;20;1
5;11;0
5;12;0
5;13;0
5;14;0
5;15;0
5;16;0
5;17;0
5;18;0
5;19;0
5;20;0
6;11;0
6;12;0
6;13;0
6;14;0
6;15;0
6;16;0
6;17;0
6;18;1
6;19;0
6;20;0
7;11;0
7;12;2
7;13;2
7;14;0
7;15;0
7;16;2
7;17;0
7;18;1
7;19;0
7;20;2
8;11;0
8;12;0
8;13;0
8;14;0
8;15;0
8;16;2
8;17;0
8;18;0
8;19;0
8;20;0
9;11;2
9;12;2
9;13;2
9;14;0
9;15;0
9;16;0
9;17;2
9;18;1
9;19;0
9;20;0
10;11;0
10;12;0
10;13;0
10;14;0
10;15;0
10;16;0
10;17;0
10;18;0
10;19;0
10;20;0
